photoUrl;name;details;vendor;description;price;id;available;itemUrl;thumbnailUrl
https://stroysmatom.ru/upload/pl_plugin_2/1-1-3-7.jpg;Штукатурка гипсовая Юнис Стандарт Серый 30 кг;Вес,30 кг,Упаковка,Мешок,Производитель,Unis,Страна,Россия,Цвет,Серые,Основа,Гипсовые,Вид работ,Для внутренних работ,Тип (основная характеристика),Выравнивающие штукатурки,Расход,15 кг/м2 при толщине слоя 10 мм,Срок годности,12 мес. в неповрежденной упаковке,Рекомендуемая толщина слоя,5-30 мм,Жизнеспособность раствора,50 мин.,Температура работ,от +5 до +30 град. С,Расход воды на 1 кг сухой смеси,0,25-0,3 л/кг,Время высыхания,5-7 суток при толщине слоя 10 мм;ЮНИС / UNIS;"<p><strong>Стандарт Серый Гипсовая штукатурка.</strong></p>
<p>Для качественного выравнивания поверхностей стен внутри жилых и общественных зданий с нормальной влажностью под последующую декоративную отделку: оклейку обоями, окрашивание, укладку керамической плитки и др.</p>
<p>Допускается использование во влажных помещениях с последующей облицовкой керамической плиткой при условии тщательной затирки межплиточных швов.</p>
<p>Легко наносится и разравнивается; усилена волокнами; снижает нагрузку на основание; безусадочная и трещиностойкая.</p>
<p>Возможность нанесения без штукатурной сетки на стены слоем от 5 мм до 30 мм, и до 50 мм при заполнении углублений, позволяет значительно упростить работы по выравниванию поверхностей.</p>
<p>Готовое покрытие обладает высокой паропроницаемостью, при производстве работ и в процессе эксплуатации не выделяет вредных для здоровья человека и окружающей среды веществ. Кроме того, штукатурка характеризуется безусадочностью и трещиностойкостью, что увеличивает срок службы наносимых в дальнейшем материалов.</p>
<p>Применяется по бетонным, пенобетонным, гипсовым, цементно-песчаным основаниям, кирпичной кладке, а также другим недеформирующимся основаниям.</p>
<p>При проведении работ, а также в течение срока высыхания раствора следует соблюдать температуру воздуха в помещении в пределах от +5&deg;С до +30&deg;С и уровень влажности воздуха не более 75%.</p>";255.00,RUB;1-1-3-7-0-1-63;Товар есть в наличии;https://stroy-opt.com/catalog/p.php?pl4_cid=17966&pl4_id=219486;https://stroysmatom.ru/upload/pl_plugin_2/1-1-3-7_thumb_87577658669b093.jpg
https://stroysmatom.ru/upload/tovari1/1-1-1-2_5b880d8684a27.jpg;Штукатурка гипсовая универсальная Кнауф Ротбанд белый 10 кг;Вес,10 кг,Упаковка,Мешок,Производитель,Knauf,Страна,Россия,Цвет,Белые,Основа,Гипсовые,Зернистость,1,2 мм,Вид работ,Для внутренних работ,Тип (основная характеристика),Выравнивающие штукатурки,Область применения,Стены,Расход,8,5 кг/м2 при толщине слоя 10 мм,Срок годности,6 мес. в неповрежденной упаковке,Рекомендуемая толщина слоя,5-50 мм,Прочность на сжатие,2,5 МПа,Жизнеспособность раствора,30 мин.,Температура эксплуатации,от +5 до +45 град. С,Время высыхания,7 суток при толщине слое 10 мм;КНАУФ / KNAUF;"<p><strong>Штукатурка Кнауф Ротбанд</strong> обеспечивает гладкую поверхность, которая не нуждается в дополнительном шпаклевании.</p>
<p>Не трескается даже при толстом слое.&nbsp;</p>
<p>Расход гипсовой штукатурки Кнауф-Ротбанд в 2 раза меньше традиционных цементно-песчаных штукатурных смесей.</p>
<p>Нанесение за один намет штукатурного слоя толщиной до 50 мм без предварительного обрызга.</p>
<p>При необходимости возможно нанесение более толстых слоев за два раза.</p>
<p>Универсальность штукатурки Кнауф Ротбанд - одновременное оштукатуривание и шпаклевание, изготовление декоративных элементов, ремонтные и реставрационные работы.</p>
<p>Высокая водоудерживающая способность - растворная смесь не расслаивается и не обезвоживается даже на пористых, хорошо впитывающих влагу основаниях и при повышенной температуре.</p>
<p>Регулирует влажностный режим в помещении - &laquo;дышит&raquo;, создавая благоприятный микроклимат в помещении.</p>
<p>Штукатурка Ротбанд изготовлена из экологически чистого природного минерала (гипса) и не содержит вредных для здоровья человека веществ.</p>";234.00,RUB;1-1-1-2-0-1-63;Товар есть в наличии;https://stroy-opt.com/catalog/p.php?pl4_cid=17966&pl4_id=219485;https://stroysmatom.ru/upload/tovari1/1-1-1-2_5b880d8684a27_thumb_875b880d868cc48.jpg
https://stroysmatom.ru/upload/tovari1/1-1-426-6.jpg;Штукатурка гипсовая PRO Универсал серая 30 кг;Вес,30 кг,Упаковка,Мешок,Производитель,Pro,Страна,Россия,Цвет,Серые,Основа,Гипсовые,Вид работ,Для внутренних работ,Тип (основная характеристика),Выравнивающие штукатурки,Область применения,Для оштукатуривания и выравнивания фасадов зданий, а также внутренних помещений с нормальной и повышенной влажностью,Расход,10 кг/м2 при толщине слоя 10 мм,Срок годности,6 мес. в сухом месте,Рекомендуемая толщина слоя,5-40 мм,Прочность на сжатие,3,5 МПа,Жизнеспособность раствора,2 ч.,Температура работ,от +5 до +30 град. С,Расход воды на мешок,13-14 л.,Прочность сцепления с основанием,0,3 МПа,Способ нанесения,Ручное;ПРО / PRO;"<p>Гипсовая штукатурка <strong>PRO UNIVERSAL</strong> применяется для высококачественного выравнивания стен и потолков по кирпичным, бетонным, пено- и газобетонным и прочим основаниям в помещениях с нормальной влажностью, под финишную отделку во всех типах зданий и сооружений (А-В). Штукатурная смесь не дает усадки, обладает трещиностойкостью, повышенными тепло- и звукоизоляционными свойствами. Создает комфортный режим влажности в обработанном помещении, позволяет производить однослойное сплошное нанесение до 40 мм за один проход (локально до 70 мм).</p>
<p>Подготовка основания</p>
<p>Температура основания должна быть от +5 до +30&deg;С. Поверхность очистить от пыли и грязи. Удалить различные наслоения, старую отслаивающуюся штукатурку, смазку для опалубки и другие загрязнения. Выступающие металлические детали, покрывают антикоррозионной защитой. Для повышения адгезии раствора с основанием поверхность необходимо прогрунтовать. Сильно впитывающие влагу основания (кирпичная кладка, пено- газобетон, цементно-известковые штукатурки и др.) необходимо тщательно обработать грунтовкой SR-51 или SR-52 марки &laquo;PRO&raquo;. При необходимости нанести грунтовку в несколько слоев. Гладкие, невпитывающие влагу поверхности (монолитный бетон, керамическая плитка и др.) обработать грунтовкой &laquo;Контакт-бетон&raquo; марки &laquo;PRO&raquo;. Обработанную указанными грунтами поверхность оставляют для высыхания на 1-3 часа. Не допускать запыления грунтованных поверхностей.</p>";220.00,RUB;1-1-426-6-0-1-63;Товар есть в наличии;https://stroy-opt.com/catalog/p.php?pl4_cid=17966&pl4_id=219413;https://stroysmatom.ru/upload/tovari1/1-1-426-6_thumb_875bd9c207d3f6a.jpg
https://stroysmatom.ru/upload/tovari1/1-1-426-5.jpg;Штукатурка гипсовая PRO Универсал белая 30 кг;Вес,30 кг,Упаковка,Мешок,Производитель,Pro,Страна,Россия,Цвет,Белые,Основа,Гипсовые,Вид работ,Для внутренних работ,Тип (основная характеристика),Выравнивающие штукатурки,Область применения,Для оштукатуривания и выравнивания фасадов зданий, а также внутренних помещений с нормальной и повышенной влажностью,Расход,10 кг/м2 при толщине слоя 10 мм,Срок годности,6 мес. в сухом месте,Рекомендуемая толщина слоя,5-40 мм,Прочность на сжатие,3,5 МПа,Жизнеспособность раствора,2 ч.,Температура работ,от +5 до +30 град. С,Расход воды на мешок,13-14 л.,Прочность сцепления с основанием,0,3 МПа,Способ нанесения,Ручное;ПРО / PRO;"<p>Гипсовая штукатурка <strong>PRO UNIVERSAL</strong> применяется для высококачественного выравнивания стен и потолков по кирпичным, бетонным, пено- и газобетонным и прочим основаниям в помещениях с нормальной влажностью, под финишную отделку во всех типах зданий и сооружений (А-В). Штукатурная смесь не дает усадки, обладает трещиностойкостью, повышенными тепло- и звукоизоляционными свойствами. Создает комфортный режим влажности в обработанном помещении, позволяет производить однослойное сплошное нанесение до 40 мм за один проход (локально до 70 мм).</p>
<p>Подготовка основания</p>
<p>Температура основания должна быть от +5 до +30&deg;С. Поверхность очистить от пыли и грязи. Удалить различные наслоения, старую отслаивающуюся штукатурку, смазку для опалубки и другие загрязнения. Выступающие металлические детали, покрывают антикоррозионной защитой. Для повышения адгезии раствора с основанием поверхность необходимо прогрунтовать. Сильно впитывающие влагу основания (кирпичная кладка, пено- газобетон, цементно-известковые штукатурки и др.) необходимо тщательно обработать грунтовкой SR-51 или SR-52 марки &laquo;PRO&raquo;. При необходимости нанести грунтовку в несколько слоев. Гладкие, невпитывающие влагу поверхности (монолитный бетон, керамическая плитка и др.) обработать грунтовкой &laquo;Контакт-бетон&raquo; марки &laquo;PRO&raquo;. Обработанную указанными грунтами поверхность оставляют для высыхания на 1-3 часа. Не допускать запыления грунтованных поверхностей.</p>";220.00,RUB;1-1-426-5-0-1-63;Товар есть в наличии;https://stroy-opt.com/catalog/p.php?pl4_cid=17966&pl4_id=219412;https://stroysmatom.ru/upload/tovari1/1-1-426-5_thumb_875bd9c21f9d4ee.jpg
https://stroysmatom.ru/upload/tovari1/1-1-1-1_5b880d6ce4e0e.jpg;Штукатурка гипсовая универсальная Кнауф Ротбанд белый 5 кг;Вес,5 кг,Упаковка,Мешок,Производитель,Knauf,Страна,Россия,Цвет,Белые,Основа,Гипсовые,Зернистость,1,2 мм,Вид работ,Для внутренних работ,Тип (основная характеристика),Выравнивающие штукатурки,Область применения,Стены,Расход,8,5 кг/м2 при толщине слоя 10 мм,Срок годности,6 мес. в неповрежденной упаковке,Рекомендуемая толщина слоя,5-50 мм,Прочность на сжатие,2,5 МПа,Жизнеспособность раствора,30 мин.,Температура эксплуатации,от +5 до +45 град. С,Время высыхания,7 суток при толщине слое 10 мм;КНАУФ / KNAUF;"<p><strong>Штукатурка Кнауф Ротбанд</strong> обеспечивает гладкую поверхность, которая не нуждается в дополнительном шпаклевании.</p>
<p>Не трескается даже при толстом слое.&nbsp;</p>
<p>Расход гипсовой штукатурки Кнауф-Ротбанд в 2 раза меньше традиционных цементно-песчаных штукатурных смесей.</p>
<p>Нанесение за один намет штукатурного слоя толщиной до 50 мм без предварительного обрызга.</p>
<p>При необходимости возможно нанесение более толстых слоев за два раза.</p>
<p>Универсальность штукатурки Кнауф Ротбанд - одновременное оштукатуривание и шпаклевание, изготовление декоративных элементов, ремонтные и реставрационные работы.</p>
<p>Высокая водоудерживающая способность - растворная смесь не расслаивается и не обезвоживается даже на пористых, хорошо впитывающих влагу основаниях и при повышенной температуре.</p>
<p>Регулирует влажностный режим в помещении - &laquo;дышит&raquo;, создавая благоприятный микроклимат в помещении.</p>
<p>Штукатурка Ротбанд изготовлена из экологически чистого природного минерала (гипса) и не содержит вредных для здоровья человека веществ.</p>";200.00,RUB;1-1-1-1-0-1-63;Товар есть в наличии;https://stroy-opt.com/catalog/p.php?pl4_cid=17966&pl4_id=219411;https://stroysmatom.ru/upload/tovari1/1-1-1-1_5b880d6ce4e0e_thumb_875b880d6cec5a9.jpg
https://stroysmatom.ru/upload/tovari1/1-1-282-4.jpg;Штукатурка гипсовая Эталон ClimLife White 30 кг;Вес,30 кг,Упаковка,Мешок,Производитель,Эталон,Страна,Россия,Цвет,Белые,Основа,Гипсовые,Вид работ,Для внутренних работ,Тип (основная характеристика),Выравнивающие штукатурки,Область применения,Для заделки швов, трещин, заполнения локальных отверстий, выравнивания откосов и углов,Расход,0,9 кг/м2 при толщине слоя 1 мм,Рекомендуемая толщина слоя,2-50 мм,Жизнеспособность раствора,60 мин.,Температура работ,от +5 до +30 град. С,Расход воды на 1 кг сухой смеси,0,56-0,6 л/кг,Время высыхания,24 ч.,Прочность сцепления с основанием,0,5 МПа;ЭТАЛОН / ETALON;"<p>Гипсовая штукатурка «Эталон» – лучшее решение для выравнивания стен и потолков в помещениях с нормальной влажностью. За счет пониженной плотности снижает нагрузку на конструкции. Глянцуется до зеркального состояния, исключая при этом потребность в дополнительном шпатлевании. Обладает высокой паропроницаемостью, низкой теплопроводностью, при производстве работ и в процессе эксплуатации не выделяет вредных для здоровья человека и окружающей среды веществ, способствует созданию благоприятного микроклимата в помещении.</p>
<p>Гипсовая штукатурка «Эталон» рекомендуется для выравнивания бетонных, газобетонных, кирпичных, каменных поверхностей.</p>
<p>Штукатурка гипсовая Эталон ClimLife только для внутренних работ.</p>";251.00,RUB;1-1-282-4-0-1-63;Товар есть в наличии;https://stroy-opt.com/catalog/p.php?pl4_cid=17966&pl4_id=152816;https://stroysmatom.ru/upload/tovari1/1-1-282-4_thumb_875b1e9417e6f15.jpg
https://stroysmatom.ru/upload/pl_plugin_2/1-1-282-1.jpg;Штукатурка гипсовая Эталон ClimLife 30 кг;Вес,30 кг,Упаковка,Мешок,Производитель,Эталон,Страна,Россия,Цвет,Светло-серые,Основа,Гипсовые,Вид работ,Для внутренних работ,Тип (основная характеристика),Выравнивающие штукатурки,Область применения,Для заделки швов, трещин, заполнения локальных отверстий, выравнивания откосов и углов,Расход,0,9 кг/м2 при толщине слоя 1 мм,Рекомендуемая толщина слоя,2-50 мм,Жизнеспособность раствора,60 мин.,Температура работ,от +5 до +30 град. С,Расход воды на 1 кг сухой смеси,0,56-0,6 л/кг,Время высыхания,24 ч.,Прочность сцепления с основанием,0,5 МПа;ЭТАЛОН / ETALON;"<p>Гипсовая штукатурка &laquo;Эталон&raquo; &ndash; лучшее решение для выравнивания стен и потолков в помещениях с нормальной влажностью.</p>
<p>За счет пониженной плотности снижает нагрузку на конструкции.</p>
<p>Глянцуется до зеркального состояния, исключая при этом потребность в дополнительном шпатлевании.</p>
<p>Обладает высокой паропроницаемостью, низкой теплопроводностью, при производстве работ и в процессе эксплуатации не выделяет вредных для здоровья человека и окружающей среды веществ, способствует созданию благоприятного микроклимата в помещении.</p>
<p>Гипсовая штукатурка &laquo;Эталон&raquo; рекомендуется для выравнивания бетонных, газобетонных, кирпичных, каменных поверхностей.</p>
<p>Только для внутренних работ.</p>";248.00,RUB;1-1-282-1-0-1-63;Товар есть в наличии;https://stroy-opt.com/catalog/p.php?pl4_cid=17966&pl4_id=152815;https://stroysmatom.ru/upload/pl_plugin_2/1-1-282-1_thumb_875957990986650.jpg
https://stroysmatom.ru/upload/tovari_osn/1-1-23-5_5eecdfdcf10ff.jpg;Штукатурка гипсовая Старатели Оптиум 30 кг;Вес,30 кг,Упаковка,Мешок,Производитель,Старатели,Страна,Россия,Цвет,Светло-серые,Основа,Гипсовые,Вид работ,Для внутренних работ,Тип (основная характеристика),Выравнивающие штукатурки,Область применения,Стены, потолки,Расход,10-11 кг/м2 при толщине слоя 10 мм,Срок годности,12 мес. в неповрежденной упаковке,Рекомендуемая толщина слоя,5-60 мм,Прочность на сжатие,3 МПа,Жизнеспособность раствора,40 мин.,Температура работ,от +5 до +30 град. С,Расход воды на 1 кг сухой смеси,0,36-0,46 л/кг;СТАРАТЕЛИ / STARATELI;"<p><strong>Штукатурка &laquo;Старатели Оптимум&raquo;: надежность и долговечность</strong></p>
<p>Оптимальное решение для внутренней отделки жилых и нежилых помещений перед завершающим этапом является универсальная и практичная штукатурка &laquo;Оптимум&raquo;.</p>
<p>Эта сухая смесь, реализуемая в крафт-мешках по 30 килограммов, прекрасно подходит для использования в сочетании с кирпичной, бетонной, пено- и газобетонной, гипсовой и иными стандартными и сложными основами.</p>
<p>Главное, чтобы поверхности не контактировали с продуктами и питьевой водой.</p>
<p><strong>Приготовление раствора</strong></p>
<p>Готовый рабочий раствор приготавливается из расчета 360-460 миллилитров чистой воды на килограмм сухой смеси, то есть 10,8-13,8 литров на тридцатикилограммовый мешок.</p>
<p>Добавленный в емкость с водой сухой порошок необходимо тщательно перемешать до однородной массы, затем дать выстоять в течение 5 минут и снова перемешать.</p>
<p>Полученный раствор годен к применению в течение ближайших 30 минут.</p>
<p>При соблюдении инструкций у вас должен установиться расход материала &mdash; 10-11 килограммов на квадратный метр при условии толщины слоя штукатурки в один сантиметр.</p>
<p>В смесь категорически нельзя добавлять ничего лишнего.</p>
<p><strong>Подготовка основы и нанесение раствора</strong></p>
<p>Штукатурные работы проводятся при температуре в помещении не ниже 5 и не выше 30 градусов. Поверхность основы должна быть чистой, ровной и твердой, металлические элементы обработаны антикоррозийным составом.</p>
<p>Предварительно на основу наносится слой грунтовки для повышения адгезии смеси с поверхностью.</p>
<p>Штукатурка наносится на стену в один слой, не превышающий 60, локально 90 миллиметров, слева направо и сверху вниз.</p>
<p>Предыдущие полосы слегка перекрываются последующими и тщательно заглаживаются.</p>
<p>После затворения водой не более, чем через пять часов, необходимо смочить оштукатуренную поверхность и тщательно затереть ее губчатой теркой.</p>";272.00,RUB;1-1-23-5-0-1-63;Товар есть в наличии;https://stroy-opt.com/catalog/p.php?pl4_cid=17966&pl4_id=152814;https://stroysmatom.ru/upload/tovari_dopf/1-1-23-5_5eecdfdcf10ff_thumb_875eecdfdd03318.jpg
https://stroysmatom.ru/upload/pl_plugin_2/1-1-2-6.jpg;Штукатурка гипсовая Волма Пласт 30 кг;Вес,30 кг,Упаковка,Мешок,Производитель,Volma,Страна,Россия,Цвет,Серые,Основа,Гипсовые,Вид работ,Для внутренних работ,Тип (основная характеристика),Выравнивающие штукатурки,Область применения,Стены, Потолок,Расход,10 кг/м2 при толщине слоя 10 мм,Срок годности,12 мес. в неповрежденной упаковке,Рекомендуемая толщина слоя,5-30 мм,Температура работ,от +5 до +30 град. С,Расход воды на 1 кг сухой смеси,0,45-0,5 л/кг,Время высыхания,5-7 суток при толщине слоя 10 мм;ВОЛМА / VOLMA;"<p><strong>Выравнивающая гипсовая штукатурка Волма Пласт</strong> - сухая штукатурная смесь на основе гипсового вяжущего и заполнителя с применением минеральных и химических добавок, обеспечивающих высокую адгезию, водоудерживающую способность и оптимальное время работы.</p>
<p>Предназначена для выравнивания стен и потолков перед финишным шпаклеванием, наклейкой обоев, облицовкой керамической плиткой.</p>
<p>Применяется внутри помещений с нормальной влажностью и температурой от +5 до +30 градусов С.</p>
<p>Для ручного нанесения.</p>
<p>Основание должно быть сухим, прочным, очищенным от пыли, грязи, масляных пятен и отслоений.</p>
<p>Металлические элементы обработать средством, предотвращающим коррозию.</p>
<p>Сильновпитывающие основания обработать грунтовкой Волма Универсал, гладкие и слабовпитывающие поверхности, для повышения адгезии штукатурной смеси обработать грунтовкой Волма Контакт.</p>
<p>На внешние углы закрепить угловой профиль.</p>
<p>При оштукатуривании по &laquo;маякам&raquo;, закрепить &laquo;маячковые&raquo; профили вертикально на поверхности с помощью штукатурки гипсовой Волма Пласт или монтажного клея Волма Монтаж.</p>
<p>При этом шаг между маяками должен быть меньше длины правила для разравнивания штукатурки.</p>
<p>Предназначена для нанесения на основания: бетон, кирпич, цементно-известковые штукатурки, гипсовые блоки и плиты, газо- и пенобетон, ГКЛ, ГВЛ.</p>";275.00,RUB;1-1-2-6-0-1-63;Товар есть в наличии;https://stroy-opt.com/catalog/p.php?pl4_cid=17966&pl4_id=152811;https://stroysmatom.ru/upload/pl_plugin_2/1-1-2-6_thumb_875773994f27620.jpg
https://stroysmatom.ru/upload/pl_plugin_2/1-1-2-5.jpg;Штукатурка гипсовая Волма Слой светло-розовый 30 кг;Вес,30 кг,Упаковка,Мешок,Производитель,Volma,Страна,Россия,Цвет,Светло-розовые,Основа,Гипсовые,Вид работ,Для внутренних работ,Тип (основная характеристика),Выравнивающие штукатурки,Область применения,Стены, Потолок,Расход,8-9 кг/м2 при толщине слоя 10 мм,Срок годности,12 мес. в неповрежденной упаковке,Рекомендуемая толщина слоя,5-30 мм,Температура работ,от +5 до +30 град. С,Расход воды на 1 кг сухой смеси,0,55-0,66 л/кг,Время высыхания,5-7 суток при толщине слоя 10 мм;ВОЛМА / VOLMA;"<p>Купить гипсовую штукатурку Волма на Стройсматом</p>
<p><strong>Выравнивающая штукатурка Волма Слой</strong> - сухая штукатурная смесь на основе гипсового вяжущего.</p>
<p>Предназначена для выравнивания стен и потолков под оклейку обоями, покраску, облицовку керамической плиткой.</p>
<p>При соблюдении технологии применения, дает глянцевую поверхность, не требующую дополнительного шпаклевания.</p>
<p>Штукатурка гипсовая Волма Слой применяется внутри помещений с нормальной влажностью и температурой от +5 до +30&ordm;С.</p>
<p>Основание должно быть сухим, прочным, очищенным от пыли, грязи, масляных пятен и отслоений.</p>
<p>Металлические элементы обработать средством предотвращающим коррозию.</p>
<p>Сильно впитывающие основания обработать грунтовкой Волма Универсал, Волма Интерьер.</p>
<p>Для повышения прочности сцепления штукатурной смеси с бетонными основаниями, обработать их грунтовкой Волма Контакт.</p>
<p>На внешние углы закрепить угловой профиль.</p>
<p>При оштукатуривании по &laquo;маякам&raquo;, закрепить &laquo;маячковые&raquo; профили вертикально на поверхности с помощью штукатурки гипсовой Волма Слой Розовой или монтажного клея Волма Монтаж.</p>
<p>При этом шаг между маяками должен быть меньше длины правила для разравнивания штукатурки.</p>
<p>Предназначена для нанесения на основания: бетон, кирпич, цементно-известковые штукатурки, гипсовые блоки и плиты, газо- и пенобетон, ГКЛ, ГВЛ.</p>";298.00,RUB;1-1-2-5-0-1-63;Товар есть в наличии;https://stroy-opt.com/catalog/p.php?pl4_cid=17966&pl4_id=152810;https://stroysmatom.ru/upload/pl_plugin_2/1-1-2-5_thumb_8757739938e7510.jpg
